team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
UCF,Big 12,2-1,1-1,1.64,2.39,0.52,-1.87,Medium,1.0,60.04,43.6,55.93,1471.33,0.5,4.5,1484.0,7.389,0.172748,-0.040672,0.0,0.0,672.14,,
North Carolina,ACC,2-1,1-1,1.46,1.58,1.28,-0.3,Medium,1.0,61.72,69.92,53.95,1396.33,0.5,-1.5,1585.5,1.222,0.118025,-0.018831,0.0,0.0,767.89,,
Fresno State,Pac-12,2-1,2-1,1.32,3.18,-1.48,-4.66,Medium,1.0,44.14,33.51,70.82,1550.33,0.6667,7.667,1543.667,7.611,0.066631,-0.041842,0.0,0.0,609.75,,
NC State,ACC,1-2,0-2,0.65,-2.25,5.01,7.26,Medium,1.0,55.42,55.16,42.62,1508.33,0.0,-15.0,1668.5,5.556,0.202404,0.130688,0.0,0.0,757.14,,
Minnesota,Big Ten,2-1,1-1,0.64,-0.98,3.08,4.05,Medium,1.0,62.08,68.23,44.75,1482.0,0.5,4.5,1256.5,-1.444,0.154169,0.031748,0.0,0.0,728.79,,
Wake Forest,ACC,2-1,2-1,0.54,0.21,1.04,0.83,Medium,1.0,55.75,58.02,57.54,1512.67,0.6667,3.667,1381.333,0.389,0.300886,0.178872,0.0,0.0,680.87,,
UTSA,American Athletic,2-1,1-1,0.51,1.58,-1.1,-2.67,Medium,1.0,64.76,46.67,49.36,1517.67,0.5,-9.5,1678.5,4.333,0.204949,-0.029864,0.0,0.0,655.82,,
Memphis,American Athletic,3-1,2-1,0.03,0.59,-0.82,-1.41,Medium,1.0,55.8,56.77,56.42,1540.5,0.6667,2.0,1509.333,-0.042,0.262066,0.179525,0.0,0.0,670.31,,
Cincinnati,Big 12,3-0,2-0,-0.17,-0.41,0.18,0.6,Medium,1.0,73.82,41.64,56.49,1514.67,1.0,11.5,1332.5,5.667,0.360608,0.054911,0.0,0.0,634.28,,
Western Michigan,Mid-American,2-1,1-1,-0.32,2.73,-4.89,-7.62,Medium,1.0,52.39,24.55,51.03,1529.0,0.5,3.0,1418.5,10.278,0.1625,0.014503,0.0,0.0,572.2,,
North Texas,American Athletic,1-2,1-2,-0.5,2.04,-4.3,-6.34,Medium,1.0,44.51,21.29,66.0,1645.0,0.3333,-4.0,1697.0,11.222,0.209086,0.262675,0.0,0.0,602.08,,
Tulane,American Athletic,1-2,1-2,-1.09,-0.45,-2.07,-1.62,Medium,1.0,32.61,57.4,54.61,1525.67,0.3333,-7.0,1551.667,-0.333,0.089093,0.15191,0.0,0.0,665.11,,
Georgia Tech,ACC,1-2,0-2,-2.26,-4.52,1.13,5.65,Medium,1.0,47.93,81.39,40.99,1523.67,0.0,-11.0,1543.5,-7.167,0.106994,0.111569,0.0,0.0,751.65,,
Texas State,Pac-12,1-2,1-2,-2.29,-1.89,-2.89,-1.0,Medium,1.0,47.94,68.15,52.7,1456.67,0.3333,-14.333,1668.333,-6.111,0.216715,0.297884,0.0,0.0,624.81,,
Oklahoma State,Big 12,2-1,1-1,-2.35,-3.71,-0.31,3.39,Medium,1.0,59.46,62.83,50.63,1244.33,0.5,-3.0,1556.5,2.5,0.092239,-0.020645,0.0,0.0,672.69,,
Toledo,Mid-American,2-1,1-1,-2.57,-1.87,-3.63,-1.76,Medium,1.0,63.77,34.27,40.44,1568.33,0.5,-4.5,1381.0,4.278,0.293238,0.022287,0.0,0.0,556.26,,
Nevada,Mountain West,1-2,1-1,-2.82,0.79,-8.24,-9.03,Medium,1.0,44.36,35.23,60.38,1451.33,0.5,14.0,1357.5,5.611,0.078259,0.103688,0.0,0.0,549.99,,
UNLV,Mountain West,1-2,1-2,-3.04,-5.23,0.25,5.48,Medium,1.0,27.28,87.32,50.16,1545.0,0.3333,-9.667,1521.667,-13.056,-0.052489,0.147106,0.0,0.0,696.03,,
California,ACC,2-1,1-1,-3.13,-5.17,-0.08,5.09,Medium,1.0,51.74,92.54,32.91,1350.67,0.5,-9.0,1334.5,-9.278,0.093627,0.00041,0.0,0.0,751.92,,
Kansas,Big 12,1-2,0-2,-3.18,-5.92,0.92,6.84,Medium,1.0,64.62,69.59,42.47,1492.0,0.0,-12.0,1598.5,-4.444,0.201756,-0.067502,0.0,0.0,684.51,,
San Diego State,Pac-12,1-2,0-2,-3.37,-4.39,-1.83,2.56,Medium,1.0,33.06,71.29,38.89,1485.0,0.0,-15.5,1607.0,-8.833,-0.056124,0.063049,0.0,0.0,609.22,,
Army,American Athletic,1-1,0-1,-3.66,-4.57,-2.28,2.29,Low,1.0,81.94,5.59,51.12,1528.5,0.0,-4.0,1679.0,5.833,0.423306,0.112393,0.0,0.0,303.83,,
