years,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,games,market_weight,actual_weight,weighted_model_vs_market_mae,weighted_model_vs_actual_mae,weighted_blended_mae,weighted_model_vs_market_corr
"2023,2024,2025",5.0,0.12,12.0,0.35,2125,0.8,0.2,5.3676,13.3524,6.9646,0.8811
"2023,2024,2025",5.0,0.0,12.0,0.35,2125,0.8,0.2,5.3678,13.3522,6.9647,0.881
"2023,2024,2025",5.0,0.05,12.0,0.35,2125,0.8,0.2,5.3678,13.3522,6.9647,0.881
"2023,2024,2025",5.0,0.08,12.0,0.35,2125,0.8,0.2,5.3678,13.3522,6.9647,0.881
"2023,2024,2025",6.5,0.0,14.0,0.1,2125,0.8,0.2,5.3718,13.347,6.9669,0.8775
"2023,2024,2025",6.5,0.05,14.0,0.1,2125,0.8,0.2,5.3718,13.347,6.9669,0.8775
"2023,2024,2025",6.5,0.08,14.0,0.1,2125,0.8,0.2,5.3718,13.347,6.9669,0.8775
"2023,2024,2025",6.5,0.12,14.0,0.1,2125,0.8,0.2,5.3718,13.347,6.9669,0.8775
"2023,2024,2025",5.0,0.12,12.0,0.5,2125,0.8,0.2,5.3817,13.3564,6.9766,0.8808
"2023,2024,2025",5.0,0.0,12.0,0.5,2125,0.8,0.2,5.3818,13.3561,6.9767,0.8808
"2023,2024,2025",5.0,0.05,12.0,0.5,2125,0.8,0.2,5.3818,13.3561,6.9767,0.8808
"2023,2024,2025",5.0,0.08,12.0,0.5,2125,0.8,0.2,5.3818,13.3561,6.9767,0.8808
"2023,2024,2025",4.0,0.08,8.0,0.1,2125,0.8,0.2,5.3812,13.3852,6.982,0.8834
"2023,2024,2025",4.0,0.0,8.0,0.1,2125,0.8,0.2,5.3814,13.385,6.9821,0.8834
"2023,2024,2025",4.0,0.05,8.0,0.1,2125,0.8,0.2,5.3814,13.385,6.9821,0.8834
"2023,2024,2025",4.0,0.12,8.0,0.1,2125,0.8,0.2,5.3823,13.3882,6.9835,0.8835
"2023,2024,2025",4.0,0.08,8.0,0.2,2125,0.8,0.2,5.3936,13.3846,6.9918,0.8843
"2023,2024,2025",5.0,0.0,12.0,0.75,2125,0.8,0.2,5.3991,13.3624,6.9918,0.8805
"2023,2024,2025",5.0,0.05,12.0,0.75,2125,0.8,0.2,5.3991,13.3624,6.9918,0.8805
"2023,2024,2025",5.0,0.08,12.0,0.75,2125,0.8,0.2,5.3991,13.3624,6.9918,0.8805
"2023,2024,2025",5.0,0.12,12.0,0.75,2125,0.8,0.2,5.3991,13.3626,6.9918,0.8805
"2023,2024,2025",4.0,0.0,8.0,0.2,2125,0.8,0.2,5.3939,13.3845,6.992,0.8843
"2023,2024,2025",4.0,0.05,8.0,0.2,2125,0.8,0.2,5.3939,13.3845,6.992,0.8843
"2023,2024,2025",6.5,0.0,14.0,0.2,2125,0.8,0.2,5.4009,13.3579,6.9923,0.8761
"2023,2024,2025",6.5,0.05,14.0,0.2,2125,0.8,0.2,5.4009,13.3579,6.9923,0.8761
"2023,2024,2025",6.5,0.08,14.0,0.2,2125,0.8,0.2,5.4009,13.3579,6.9923,0.8761
"2023,2024,2025",6.5,0.12,14.0,0.2,2125,0.8,0.2,5.4009,13.3579,6.9923,0.8761
"2023,2024,2025",4.0,0.12,8.0,0.2,2125,0.8,0.2,5.3952,13.3876,6.9936,0.8844
"2023,2024,2025",4.0,0.08,8.0,0.35,2125,0.8,0.2,5.4082,13.3877,7.0041,0.8848
"2023,2024,2025",4.0,0.0,8.0,0.35,2125,0.8,0.2,5.4085,13.3876,7.0043,0.8848
"2023,2024,2025",4.0,0.05,8.0,0.35,2125,0.8,0.2,5.4085,13.3876,7.0043,0.8848
"2023,2024,2025",4.0,0.12,8.0,0.35,2125,0.8,0.2,5.4099,13.3909,7.0061,0.885
"2023,2024,2025",5.0,0.0,12.0,1.0,2125,0.8,0.2,5.4172,13.373,7.0084,0.8801
"2023,2024,2025",5.0,0.05,12.0,1.0,2125,0.8,0.2,5.4172,13.373,7.0084,0.8801
"2023,2024,2025",5.0,0.08,12.0,1.0,2125,0.8,0.2,5.4172,13.373,7.0084,0.8801
"2023,2024,2025",5.0,0.12,12.0,1.0,2125,0.8,0.2,5.4172,13.3733,7.0084,0.8801
"2023,2024,2025",4.0,0.08,8.0,0.5,2125,0.8,0.2,5.4146,13.3887,7.0094,0.8853
"2023,2024,2025",4.0,0.0,8.0,0.5,2125,0.8,0.2,5.4149,13.3886,7.0096,0.8852
