team,conference,record,fbs_record,rating,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Coastal Carolina,Sun Belt,0-1,0-1,-7.42,1.0,50.12,22.58,68.07,1270.0,0.0,-7.0,1360.0,14.0,0.219087,0.125312,0.0,0.0,573.96,,
Missouri State,Conference USA,0-1,0-1,-7.66,1.0,5.99,26.85,83.98,1284.0,0.0,-50.0,1748.0,-10.833,-0.244122,0.351323,0.0,0.0,549.92,,
Ohio,Mid-American,0-1,0-1,-7.82,1.0,31.29,25.04,75.4,1318.0,0.0,-28.0,1538.0,-4.333,0.127526,0.492529,0.0,0.0,522.84,,
Central Michigan,Mid-American,0-1,0-1,-7.86,1.0,23.16,24.98,73.07,1259.0,0.0,-31.0,1496.0,-20.0,-0.052182,0.218711,0.0,0.0,540.01,,
UTEP,Mountain West,0-1,0-1,-7.93,1.0,21.95,21.84,81.07,1163.0,0.0,-51.0,1706.0,-10.333,-0.251351,0.387191,0.0,0.0,585.76,,
Northern Illinois,Mountain West,0-1,0-1,-8.69,1.0,5.57,23.44,85.58,1266.0,0.0,-40.0,1791.0,-8.333,-0.331732,0.061317,0.0,0.0,536.58,,
Sam Houston,Conference USA,0-1,0-1,-9.55,1.0,48.81,14.36,71.72,1164.0,0.0,-3.0,1422.0,13.167,0.167962,0.156908,0.0,0.0,554.47,,
Ball State,Mid-American,0-1,0-1,-10.5,1.0,0.0,15.24,89.65,1112.0,0.0,-53.0,1925.0,-2.667,-0.242325,0.666607,0.0,0.0,563.88,,
Army,American Athletic,1-0,0-0,-11.3,1.0,92.97,16.7,0.0,1527.0,0.0,0.0,0.0,18.667,0.685814,-0.10615,0.0,0.0,303.83,,
Kent State,Mid-American,0-1,0-1,-11.31,1.0,17.28,11.99,77.01,1056.0,0.0,-57.0,1631.0,-21.167,-0.038077,0.683177,0.0,0.0,522.83,,
New Mexico State,Conference USA,1-1,0-1,-11.51,1.0,50.69,13.65,23.89,1263.0,0.0,-17.0,1537.0,10.917,0.288951,0.132627,0.0,0.0,460.38,,
UL Monroe,Sun Belt,0-1,0-1,-11.82,1.0,18.27,11.38,70.78,1071.0,0.0,-49.0,1478.0,-20.5,-0.025209,0.638028,0.0,0.0,505.49,,
Massachusetts,Mid-American,1-0,1-0,-13.07,1.0,60.89,0.3,72.79,1076.0,1.0,16.0,1479.0,45.333,0.329973,0.203096,0.0,0.0,525.94,,
Air Force,Mountain West,1-0,0-0,-13.1,1.0,72.27,9.82,0.0,1424.0,0.0,0.0,0.0,3.5,0.398895,-0.248119,0.0,0.0,272.35,,
Akron,Mid-American,0-1,0-1,-13.45,1.0,41.17,0.0,72.06,929.0,0.0,-22.0,1520.0,5.5,0.021979,0.477589,0.0,0.0,546.84,,
Navy,American Athletic,1-0,0-0,-14.53,1.0,78.14,12.74,0.0,1550.0,0.0,0.0,0.0,-4.167,0.480273,0.052851,0.0,0.0,195.68,,
