team,conference,record,fbs_record,rating,resume_score,efficiency_score,power_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
UTEP,Conference USA,2-10,1-10,30.56,22.94,39.57,28.93,1215.17,0.0909,-10.0,1380.545,-2.583,0.012784,0.100776,-0.005092,0.140601,551.88,,
Oregon State,Pac-12,2-10,1-10,30.52,21.67,34.75,35.9,1270.58,0.0909,-15.182,1447.545,-7.132,0.061805,0.183475,0.08239,0.202374,667.99,,
Colorado State,Mountain West,2-10,1-10,30.44,21.14,35.62,35.24,1291.08,0.0909,-13.818,1449.273,-8.965,0.122355,0.237063,0.139592,0.240944,583.71,,
Rice,American Athletic,5-8,4-8,29.34,33.19,24.41,30.6,1202.38,0.3333,-16.75,1481.75,-5.962,0.037405,0.239796,0.011383,0.224195,530.06,,
Northern Illinois,Mid-American,3-9,2-9,28.6,22.63,32.03,31.56,1331.25,0.1818,-8.091,1298.182,-3.562,0.046892,0.186127,0.068367,0.241466,471.01,,
Akron,Mid-American,5-7,4-7,28.1,29.61,35.38,17.85,1064.33,0.3636,-9.636,1247.273,1.007,0.070164,0.145648,0.045828,0.224344,537.21,,
Kent State,Mid-American,5-7,4-7,27.98,35.63,33.9,12.14,945.08,0.3636,-13.818,1346.727,5.389,0.066401,0.199295,0.090696,0.240571,456.24,,
Georgia State,Sun Belt,1-11,0-11,27.49,19.27,34.23,29.21,1135.58,0.0,-21.182,1511.636,-6.792,0.130407,0.275287,0.110161,0.244498,611.97,,
UL Monroe,Sun Belt,3-9,2-9,26.53,20.8,36.99,21.03,1082.17,0.1818,-19.364,1395.818,-7.986,0.079848,0.187007,0.08086,0.214201,473.34,,
Oklahoma State,Big 12,1-11,0-11,25.0,22.71,21.42,31.85,1129.67,0.0,-22.727,1558.727,-4.0,-0.01158,0.26108,0.027787,0.233319,702.74,,
Ball State,Mid-American,4-8,3-8,25.0,26.93,28.15,19.08,1062.92,0.2727,-15.727,1337.364,-1.174,-0.001315,0.182677,0.006683,0.198699,495.35,,
Charlotte,American Athletic,1-11,0-11,24.0,20.65,25.61,26.02,1102.83,0.0,-24.636,1521.727,-3.299,-0.007105,0.226139,-0.008554,0.186963,526.3,,
Sam Houston,Conference USA,2-10,2-10,23.78,18.55,24.88,28.61,1178.42,0.1667,-20.083,1370.083,-8.201,0.001107,0.236775,0.023752,0.235339,477.35,,
Massachusetts,Mid-American,0-12,0-11,10.72,2.94,18.22,11.04,916.25,0.0,-29.909,1307.273,-12.25,-0.031023,0.262044,-0.020926,0.304476,488.73,,
