event_id,captured_at_utc,commence_time,week,display_week,week_label,game_type,home_team,away_team,book_count,model_home_spread,market_home_spread,edge_side,absolute_edge_points,betting_status,best_home_spread,best_home_price,best_home_book,best_away_spread,best_away_price,best_away_book,selected_best_spread,selected_best_price,selected_best_book,break_even_probability,line_shopping_value
bf2cffa30d89eb2ce1b4d0f91561f66d,2026-09-21T00:31:51+00:00,2026-09-26T18:00:00Z,4,4,Week 4,FBS vs FBS,Purdue,Notre Dame,8,24.45,27.31,Purdue,2.86,Standard,27.5,-109,betrivers,-26.5,-110,fanduel,27.5,-109,betrivers,0.5215,0.19
bf2cffa30d89eb2ce1b4d0f91561f66d,2026-09-21T21:56:06+00:00,2026-09-26T18:00:00Z,4,4,Week 4,FBS vs FBS,Purdue,Notre Dame,9,24.52,27.89,Purdue,3.37,Standard,28.0,-109,lowvig,-27.5,-118,fanduel,28.0,-109,lowvig,0.5215,0.11
c48f042c91328d4d0c6351fc82286879,2026-09-21T00:31:51+00:00,2026-09-26T17:30:00Z,4,4,Week 4,FBS vs FBS,Maryland,UCLA,8,0.58,2.12,Maryland,1.55,Standard,2.5,-111,lowvig,-1.5,-115,fanduel,2.5,-111,lowvig,0.5261,0.38
c48f042c91328d4d0c6351fc82286879,2026-09-21T21:56:06+00:00,2026-09-26T17:30:00Z,4,4,Week 4,FBS vs FBS,Maryland,UCLA,9,0.46,2.17,Maryland,1.71,Standard,2.5,-111,lowvig,-1.5,-112,betrivers,2.5,-111,lowvig,0.5261,0.33
c80f5f34b99b9346f4e40cf5304d941d,2026-09-21T00:31:51+00:00,2026-09-26T22:30:00Z,4,4,Week 4,FBS vs FBS,Charlotte,Louisiana,8,6.18,11.25,Charlotte,5.07,Standard,12.5,-114,betrivers,-10.5,-108,betmgm,12.5,-114,betrivers,0.5327,1.25
c80f5f34b99b9346f4e40cf5304d941d,2026-09-21T21:56:06+00:00,2026-09-26T22:30:00Z,4,4,Week 4,FBS vs FBS,Charlotte,Louisiana,9,6.11,10.22,Charlotte,4.11,Standard,10.5,-110,fanduel,-10.0,-111,lowvig,10.5,-110,fanduel,0.5238,0.28
c843a3f97a410eedafcfbad440774ad2,2026-09-21T00:31:51+00:00,2026-09-26T23:00:00Z,4,4,Week 4,FBS vs FBS,Alabama,South Carolina,8,-12.73,-12.93,South Carolina,0.2,Standard,-12.5,-110,fanduel,13.5,-112,draftkings,13.5,-112,draftkings,0.5283,0.57
c843a3f97a410eedafcfbad440774ad2,2026-09-21T21:56:06+00:00,2026-09-26T23:00:00Z,4,4,Week 4,FBS vs FBS,Alabama,South Carolina,9,-12.58,-12.0,Alabama,0.58,Standard,-11.5,-106,lowvig,13.0,-113,betrivers,-11.5,-106,lowvig,0.5146,0.5
ce4578738432ad6327f4e3a4909ddcb5,2026-09-21T00:31:51+00:00,2026-09-26T22:00:00Z,4,4,Week 4,FBS vs FBS,Virginia,Delaware,8,-12.67,-20.38,Delaware,7.71,Standard,-20.0,-110,betmgm,20.5,-110,fanduel,20.5,-110,fanduel,0.5238,0.12
ce4578738432ad6327f4e3a4909ddcb5,2026-09-21T21:56:06+00:00,2026-09-26T22:00:00Z,4,4,Week 4,FBS vs FBS,Virginia,Delaware,9,-12.53,-19.44,Delaware,6.91,Standard,-19.0,-110,betus,20.0,-110,betmgm,20.0,-110,betmgm,0.5238,0.56
d9a781a64fc2c4b45290db32b5ec3f20,2026-09-21T00:31:51+00:00,2026-09-25T20:00:00Z,4,4,Week 4,FBS vs FBS,Temple,Army,8,-1.05,3.06,Temple,4.11,Standard,3.5,-120,fanduel,-3.0,-106,lowvig,3.5,-120,fanduel,0.5455,0.44
d9a781a64fc2c4b45290db32b5ec3f20,2026-09-21T21:56:06+00:00,2026-09-25T20:00:00Z,4,4,Week 4,FBS vs FBS,Temple,Army,9,-1.06,3.06,Temple,4.12,Standard,3.5,-120,fanduel,-3.0,-110,mybookieag,3.5,-120,fanduel,0.5455,0.44
e497e36c59bded468da11878568e7c80,2026-09-21T00:31:51+00:00,2026-09-27T03:00:00Z,4,4,Week 4,FBS vs FBS,Washington,Minnesota,8,-9.0,-8.81,Washington,0.19,Standard,-8.5,-112,draftkings,9.0,-101,lowvig,-8.5,-112,draftkings,0.5283,0.31
e497e36c59bded468da11878568e7c80,2026-09-21T21:56:06+00:00,2026-09-27T03:00:00Z,4,4,Week 4,FBS vs FBS,Washington,Minnesota,9,-9.28,-9.89,Minnesota,0.61,Standard,-9.5,-113,betrivers,10.0,-110,mybookieag,10.0,-110,mybookieag,0.5238,0.11
e972bb2c0291b991de32cc0188c9d338,2026-09-21T00:31:51+00:00,2026-09-27T02:30:00Z,4,4,Week 4,FBS vs FBS,Nevada,Air Force,8,-5.45,4.44,Nevada,9.89,Standard,4.5,-106,lowvig,-4.0,-112,draftkings,4.5,-106,lowvig,0.5146,0.06
e972bb2c0291b991de32cc0188c9d338,2026-09-21T21:56:06+00:00,2026-09-27T02:30:00Z,4,4,Week 4,FBS vs FBS,Nevada,Air Force,9,-5.17,5.28,Nevada,10.45,Standard,5.5,-110,fanduel,-4.5,-109,betrivers,5.5,-110,fanduel,0.5238,0.22
edf8d3e3699aa5cb34c50ac7de992d37,2026-09-21T00:31:51+00:00,2026-09-26T20:15:00Z,4,4,Week 4,FBS vs FBS,Auburn,Vanderbilt,8,-5.52,-9.25,Vanderbilt,3.73,Standard,-8.5,-108,betmgm,9.5,-109,betrivers,9.5,-109,betrivers,0.5215,0.25
edf8d3e3699aa5cb34c50ac7de992d37,2026-09-21T21:56:06+00:00,2026-09-26T20:15:00Z,4,4,Week 4,FBS vs FBS,Auburn,Vanderbilt,9,-5.53,-9.44,Vanderbilt,3.91,Standard,-9.0,-110,betmgm,9.5,-110,draftkings,9.5,-110,draftkings,0.5238,0.06
f0985218c2ed146bb0295c4e9c4a0dd7,2026-09-21T00:31:51+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Western Michigan,Boise State,8,2.76,7.5,Western Michigan,4.74,Standard,7.5,-106,lowvig,-7.5,-106,lowvig,7.5,-106,lowvig,0.5146,0.0
f0985218c2ed146bb0295c4e9c4a0dd7,2026-09-21T21:56:06+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Western Michigan,Boise State,9,2.68,7.11,Western Michigan,4.43,Standard,7.5,-113,betrivers,-7.0,-110,mybookieag,7.5,-113,betrivers,0.5305,0.39
f154381c89953d3b0bd409a6bc4e28a6,2026-09-21T00:31:51+00:00,2026-09-26T23:45:00Z,4,4,Week 4,FBS vs FBS,Mississippi State,Missouri,8,-6.25,-5.88,Mississippi State,0.38,Standard,-5.5,-110,betrivers,6.0,-106,lowvig,-5.5,-110,betrivers,0.5238,0.38
f154381c89953d3b0bd409a6bc4e28a6,2026-09-21T21:56:06+00:00,2026-09-26T23:45:00Z,4,4,Week 4,FBS vs FBS,Mississippi State,Missouri,9,-6.34,-6.22,Mississippi State,0.12,Standard,-5.5,-115,fanduel,6.5,-110,betus,-5.5,-115,fanduel,0.5349,0.72
f6b6590d0b66bbb4fcbb391289794963,2026-09-21T00:31:51+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Louisville,Wake Forest,8,-11.7,-13.12,Wake Forest,1.43,Standard,-12.5,-115,draftkings,13.5,-110,mybookieag,13.5,-110,mybookieag,0.5238,0.38
f6b6590d0b66bbb4fcbb391289794963,2026-09-21T21:56:06+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Louisville,Wake Forest,9,-11.71,-12.72,Wake Forest,1.01,Standard,-12.5,-110,betrivers,13.0,-110,mybookieag,13.0,-110,mybookieag,0.5238,0.28
fc7c77e060e8ba29a61de994be1497c0,2026-09-21T00:31:51+00:00,2026-09-26T19:00:00Z,4,4,Week 4,FBS vs FBS,Wyoming,Hawai'i,8,1.09,3.19,Wyoming,2.1,Standard,3.5,-110,mybookieag,-3.0,-101,lowvig,3.5,-110,mybookieag,0.5238,0.31
fc7c77e060e8ba29a61de994be1497c0,2026-09-21T21:56:06+00:00,2026-09-26T19:00:00Z,4,4,Week 4,FBS vs FBS,Wyoming,Hawai'i,9,1.14,3.11,Wyoming,1.97,Standard,3.5,-114,betrivers,-3.0,-110,mybookieag,3.5,-114,betrivers,0.5327,0.39
fe0fb2e29062d93898ebdd583329194d,2026-09-21T00:31:51+00:00,2026-09-26T23:00:00Z,4,4,Week 4,FBS vs FBS,Jacksonville State,Middle Tennessee,8,-3.46,-8.75,Middle Tennessee,5.29,Standard,-8.5,-110,fanduel,9.0,-106,lowvig,9.0,-106,lowvig,0.5146,0.25
fe0fb2e29062d93898ebdd583329194d,2026-09-21T21:56:06+00:00,2026-09-26T23:00:00Z,4,4,Week 4,FBS vs FBS,Jacksonville State,Middle Tennessee,9,-3.24,-7.22,Middle Tennessee,3.98,Standard,-7.0,-110,mybookieag,7.5,-116,lowvig,7.5,-116,lowvig,0.537,0.28
